category,name,price,image_url
М'ясо,Стейк «Рібай» Dry Aged в/у,129.90 грн/100г,https://images.silpo.ua/products/300x300/webp/b860d1c8-69e1-4707-bdd4-1ff83d0b3080.png
М'ясо,Печінка куряча охолоджена,9.00 грн/100г,https://images.silpo.ua/products/300x300/webp/a21983ef-f31b-461e-8d29-ef12f16cda26.png
М'ясо,Ковбаски #ЦеМ'ясо Французькі гриль охолоджені,89.00 грн/500г,https://images.silpo.ua/products/300x300/webp/5416ff11-0a90-43a1-b45a-6256d735eaa3.png
М'ясо,Телячий ошийок охолоджений,27.90 грн/100г,https://images.silpo.ua/products/300x300/webp/81892247-8143-41c4-acbf-8d207b9c63f5.png
М'ясо,Кролик заморожений в/у,28.40 грн/100г,https://images.silpo.ua/products/300x300/webp/2c8f10af-293b-431c-aaf3-3c164eb2e809.png
М'ясо,Теляча задня частина охолоджена,30.40 грн/100г,https://images.silpo.ua/products/300x300/webp/962a1799-51c8-4430-bc19-caa1d128b182.png
М'ясо,"Яловичина, задня частина фасована 500-700 г охолоджена",30.40 грн/100г,https://images.silpo.ua/products/300x300/webp/ff638176-0e50-4f5b-9ab0-6e8edb86c851.png
М'ясо,Куряча гомілка в маринаді,12.40 грн/100г,https://images.silpo.ua/products/300x300/webp/0314b819-8f94-459b-b635-9d1e42805c27.png
М'ясо,Ковбаски для смаження свинячі з диким часником фасовані,17.90 грн/100г,https://images.silpo.ua/products/300x300/webp/035b4a81-2349-476b-b5b1-37e2689d6ecb.png
М'ясо,Ковбаски для смаження свинячі з диким часником,18.90 грн/100г,https://images.silpo.ua/products/300x300/webp/2773e049-dd53-4c5b-b728-ffdf47401421.png
М'ясо,Стейк «Ті Боун» Dry Aged в/у,107.90 грн/100г,https://images.silpo.ua/products/300x300/webp/e18be76c-161c-42a4-b09a-f16fe6ffce32.png
М'ясо,Фрикадельки «Наша Ряба» «Апетитна» курячі охолоджені,"134.00 грн/0,45кг",https://images.silpo.ua/products/300x300/webp/d74467b3-cada-4d41-8218-896889565e52.png
М'ясо,Індичі стріпси нарізні,25.90 грн/100г,https://images.silpo.ua/products/300x300/webp/d8beb9e7-9887-4977-8e20-30b7285cda5b.png
М'ясо,Гриль-кебаб #ЦеМ'ясо яловичо-свинячий охолоджений,104.00 грн/400г,https://images.silpo.ua/products/300x300/webp/647cd57a-b4b7-478d-988c-ac649424b015.png
М'ясо,Телячий стейк,35.90 грн/100г,https://images.silpo.ua/products/300x300/webp/99d1d3d9-aec8-427a-93ca-4b379f8fae0c.png
М'ясо,Яловичина молода Ekro Ribeye Wet Aged охолоджена в/у,103.40 грн/100г,https://images.silpo.ua/products/300x300/webp/14845cd8-0538-42f1-baa7-4aacaba4f902.png
М'ясо,Стейк стріплойн Dry Aged в/у,152.90 грн/100г,https://images.silpo.ua/products/300x300/webp/19e84f55-d5f3-4581-8553-a6455bfbd663.png
М'ясо,Свинячий шашлик маринований,21.40 грн/100г,https://images.silpo.ua/products/300x300/webp/7a956e99-855e-4331-9e02-241ac0d3600b.png
